---
title: Causes of Death in France from 1925 to 1999
source: The data is made available by INED <www.ined.fr> at
  <https://www.ined.fr/en/everything_about_population/data/online-databases/death_causes_since_1925/>
  The original data authors are Jacques Vallin <vallin@ined.fr> and France
  Meslé <mesle@ined.fr>.
variables:
    year : period calendar year
    sex  : -
    age  : age groups in years [a, b]
    cod  : cause of death category (ICD-9 code)
    mx   : death rate
note: The data was downloaded in June 2014 in the form of `html` tables made
  availabe by the INED web interface. It was then converted into `.csv` format
  and aggregated into the current form.
author: Jonas Schöley <jonas.schoeley@kolabnow.com>
date: 2015-08-19
...

year,sex,age,cod,mx
1962,female,35-39,000*-999*,153.16
1963,female,35-39,000*-999*,146.01
1964,female,35-39,000*-999*,147.77
1965,female,35-39,000*-999*,151.71
1966,female,35-39,000*-999*,146.66
1967,female,35-39,000*-999*,142.43
1968,female,35-39,000*-999*,137.71
1969,female,35-39,000*-999*,141.32
1970,female,35-39,000*-999*,131.75
1971,female,35-39,000*-999*,137.51
1972,female,35-39,000*-999*,134.58
1973,female,35-39,000*-999*,130.82
1974,female,35-39,000*-999*,114.65
1975,female,35-39,000*-999*,118.6
1976,female,35-39,000*-999*,120.58
1977,female,35-39,000*-999*,117.19
1978,female,35-39,000*-999*,112.24
1979,female,35-39,000*-999*,112.8
1980,female,35-39,000*-999*,111.08
1981,female,35-39,000*-999*,109.95
1982,female,35-39,000*-999*,108.84
1983,female,35-39,000*-999*,106.27
1984,female,35-39,000*-999*,101.71
1985,female,35-39,000*-999*,104.58
1986,female,35-39,000*-999*,98.85
1987,female,35-39,000*-999*,98.5
1988,female,35-39,000*-999*,99.36
1989,female,35-39,000*-999*,98.58
1990,female,35-39,000*-999*,98.52
1991,female,35-39,000*-999*,94.16
1992,female,35-39,000*-999*,100.24
1993,female,35-39,000*-999*,94.58
1994,female,35-39,000*-999*,100.59
1995,female,35-39,000*-999*,97.52
1996,female,35-39,000*-999*,97.28
1997,female,35-39,000*-999*,87.94
1998,female,35-39,000*-999*,86.89
1999,female,35-39,000*-999*,85.08
1925,female,40-44,000*-999*,715.56
1926,female,40-44,000*-999*,720.99
1927,female,40-44,000*-999*,656.19
1928,female,40-44,000*-999*,639.74
1929,female,40-44,000*-999*,688.89
1930,female,40-44,000*-999*,634.45
1931,female,40-44,000*-999*,641.39
1932,female,40-44,000*-999*,631.66
1933,female,40-44,000*-999*,616.47
1934,female,40-44,000*-999*,573.47
1935,female,40-44,000*-999*,606
1936,female,40-44,000*-999*,585.31
1937,female,40-44,000*-999*,553.4
1938,female,40-44,000*-999*,561.14
1939,female,40-44,000*-999*,529.21
1940,female,40-44,000*-999*,603.9
1941,female,40-44,000*-999*,572.78
1942,female,40-44,000*-999*,517.05
1943,female,40-44,000*-999*,502.65
1944,female,40-44,000*-999*,603.92
1945,female,40-44,000*-999*,450.96
1946,female,40-44,000*-999*,373.74
1947,female,40-44,000*-999*,342.6
1948,female,40-44,000*-999*,337.91
1949,female,40-44,000*-999*,353.88
1950,female,40-44,000*-999*,323.86
1951,female,40-44,000*-999*,321.74
1952,female,40-44,000*-999*,307.44
1953,female,40-44,000*-999*,304.4
1954,female,40-44,000*-999*,286.5
1955,female,40-44,000*-999*,279.64
1956,female,40-44,000*-999*,274.53
1957,female,40-44,000*-999*,268.91
1958,female,40-44,000*-999*,238.98
1959,female,40-44,000*-999*,246.91
1960,female,40-44,000*-999*,231.26
1961,female,40-44,000*-999*,211.99
1962,female,40-44,000*-999*,221.55
1963,female,40-44,000*-999*,229.2
1964,female,40-44,000*-999*,218.16
1965,female,40-44,000*-999*,215.46
1966,female,40-44,000*-999*,214.97
1967,female,40-44,000*-999*,210.53
1968,female,40-44,000*-999*,211.33
1969,female,40-44,000*-999*,212.39
1970,female,40-44,000*-999*,206.89
1971,female,40-44,000*-999*,203.63
1972,female,40-44,000*-999*,206.82
1973,female,40-44,000*-999*,198.6
1974,female,40-44,000*-999*,191.76
1975,female,40-44,000*-999*,188.77
1976,female,40-44,000*-999*,184.02
1977,female,40-44,000*-999*,170.56
1978,female,40-44,000*-999*,170.27
1979,female,40-44,000*-999*,169.61
1980,female,40-44,000*-999*,170.7
1981,female,40-44,000*-999*,162.65
1982,female,40-44,000*-999*,157.83
1983,female,40-44,000*-999*,155.76
1984,female,40-44,000*-999*,155.41
1985,female,40-44,000*-999*,144.34
1986,female,40-44,000*-999*,147.83
1987,female,40-44,000*-999*,144.83
1988,female,40-44,000*-999*,142.95
1989,female,40-44,000*-999*,145.5
1990,female,40-44,000*-999*,135.16
1991,female,40-44,000*-999*,139.88
1992,female,40-44,000*-999*,137.11
1993,female,40-44,000*-999*,143.35
1994,female,40-44,000*-999*,135.48
1995,female,40-44,000*-999*,144.26
1996,female,40-44,000*-999*,138.85
1997,female,40-44,000*-999*,133.43
1998,female,40-44,000*-999*,134.48
1999,female,40-44,000*-999*,136.35
1925,female,45-49,000*-999*,862.87
1926,female,45-49,000*-999*,883.05
1927,female,45-49,000*-999*,808.59
1928,female,45-49,000*-999*,785.95
1929,female,45-49,000*-999*,855.34
1930,female,45-49,000*-999*,809.31
1931,female,45-49,000*-999*,814.83
1932,female,45-49,000*-999*,795.53
1933,female,45-49,000*-999*,803.09
1934,female,45-49,000*-999*,755.85
1935,female,45-49,000*-999*,799.1
1936,female,45-49,000*-999*,747.11
1937,female,45-49,000*-999*,730.39
1938,female,45-49,000*-999*,751.27
1939,female,45-49,000*-999*,729.26
1940,female,45-49,000*-999*,810.35
1941,female,45-49,000*-999*,762.61
1942,female,45-49,000*-999*,682.92
1943,female,45-49,000*-999*,642.26
1944,female,45-49,000*-999*,758.38
1945,female,45-49,000*-999*,595.29
1946,female,45-49,000*-999*,480.06
1947,female,45-49,000*-999*,479.43
1948,female,45-49,000*-999*,471.58
1949,female,45-49,000*-999*,479.12
1950,female,45-49,000*-999*,469.8
1951,female,45-49,000*-999*,476.13
1952,female,45-49,000*-999*,442.51
1953,female,45-49,000*-999*,449.1
1954,female,45-49,000*-999*,423.65
1955,female,45-49,000*-999*,417.82
1956,female,45-49,000*-999*,414.94
1957,female,45-49,000*-999*,390.58
1958,female,45-49,000*-999*,353.45
1959,female,45-49,000*-999*,346.63
1960,female,45-49,000*-999*,357.1
1961,female,45-49,000*-999*,342.06
1962,female,45-49,000*-999*,355.82
1963,female,45-49,000*-999*,354.87
1964,female,45-49,000*-999*,331.92
1965,female,45-49,000*-999*,336.55
1966,female,45-49,000*-999*,324.23
1967,female,45-49,000*-999*,315.69
1968,female,45-49,000*-999*,325.31
1969,female,45-49,000*-999*,331.7
1970,female,45-49,000*-999*,305.37
1971,female,45-49,000*-999*,314.77
1972,female,45-49,000*-999*,310.13
1973,female,45-49,000*-999*,300.35
1974,female,45-49,000*-999*,293.78
1975,female,45-49,000*-999*,291.69
1976,female,45-49,000*-999*,287.68
1977,female,45-49,000*-999*,273.53
1978,female,45-49,000*-999*,273.12
1979,female,45-49,000*-999*,256.47
1980,female,45-49,000*-999*,258.44
1981,female,45-49,000*-999*,246.81
1982,female,45-49,000*-999*,241.75
1983,female,45-49,000*-999*,239.73
1984,female,45-49,000*-999*,234.69
1985,female,45-49,000*-999*,224.43
1986,female,45-49,000*-999*,223.06
1987,female,45-49,000*-999*,217.47
1988,female,45-49,000*-999*,219.29
1989,female,45-49,000*-999*,209.05
1990,female,45-49,000*-999*,207.74
1991,female,45-49,000*-999*,203.42
1992,female,45-49,000*-999*,200.6
1993,female,45-49,000*-999*,203.4
1994,female,45-49,000*-999*,201.6
1995,female,45-49,000*-999*,203.34
1996,female,45-49,000*-999*,199.43
1997,female,45-49,000*-999*,200.1
1998,female,45-49,000*-999*,192.1
1999,female,45-49,000*-999*,198.85
1925,female,50-54,000*-999*,1171.53
1926,female,50-54,000*-999*,1165.52
1927,female,50-54,000*-999*,1095.66
1928,female,50-54,000*-999*,1060.32
1929,female,50-54,000*-999*,1148.56
1930,female,50-54,000*-999*,1046.25
1931,female,50-54,000*-999*,1059.55
1932,female,50-54,000*-999*,1043.46
1933,female,50-54,000*-999*,1040.09
1934,female,50-54,000*-999*,1006.87
1935,female,50-54,000*-999*,1074
1936,female,50-54,000*-999*,1037.4
1937,female,50-54,000*-999*,1003.92
1938,female,50-54,000*-999*,1008.33
1939,female,50-54,000*-999*,971.74
1940,female,50-54,000*-999*,1090.46
1941,female,50-54,000*-999*,1033.91
1942,female,50-54,000*-999*,946.49
1943,female,50-54,000*-999*,889.87
1944,female,50-54,000*-999*,1014.75
1945,female,50-54,000*-999*,831.93
1946,female,50-54,000*-999*,707.98
1947,female,50-54,000*-999*,686.97
1948,female,50-54,000*-999*,663.52
1949,female,50-54,000*-999*,705.14
1950,female,50-54,000*-999*,676.62
1951,female,50-54,000*-999*,699.65
1952,female,50-54,000*-999*,663.03
1953,female,50-54,000*-999*,678.8
1954,female,50-54,000*-999*,625.59
1955,female,50-54,000*-999*,614.05
1956,female,50-54,000*-999*,613.45
1957,female,50-54,000*-999*,586.4
1958,female,50-54,000*-999*,532.07
1959,female,50-54,000*-999*,531.65
1960,female,50-54,000*-999*,530.99
1961,female,50-54,000*-999*,495.69
1962,female,50-54,000*-999*,509.08
1963,female,50-54,000*-999*,507.9
1964,female,50-54,000*-999*,497.09
1965,female,50-54,000*-999*,491.72
1966,female,50-54,000*-999*,494.14
1967,female,50-54,000*-999*,501.77
1968,female,50-54,000*-999*,480.55
1969,female,50-54,000*-999*,495.33
1970,female,50-54,000*-999*,469.79
1971,female,50-54,000*-999*,453.23
1972,female,50-54,000*-999*,447.14
1973,female,50-54,000*-999*,432.46
1974,female,50-54,000*-999*,439.46
1975,female,50-54,000*-999*,431.5
1976,female,50-54,000*-999*,424.49
1977,female,50-54,000*-999*,397.42
1978,female,50-54,000*-999*,396.61
1979,female,50-54,000*-999*,395.59
1980,female,50-54,000*-999*,386.75
1981,female,50-54,000*-999*,367.61
1982,female,50-54,000*-999*,363.66
1983,female,50-54,000*-999*,368.07
1984,female,50-54,000*-999*,346.64
1985,female,50-54,000*-999*,348.63
1986,female,50-54,000*-999*,341.25
1987,female,50-54,000*-999*,328.9
1988,female,50-54,000*-999*,324.33
1989,female,50-54,000*-999*,313.7
1990,female,50-54,000*-999*,303.41
1991,female,50-54,000*-999*,295.93
1992,female,50-54,000*-999*,289.3
1993,female,50-54,000*-999*,290.09
1994,female,50-54,000*-999*,287.34
1995,female,50-54,000*-999*,283.24
1996,female,50-54,000*-999*,285.87
1997,female,50-54,000*-999*,288.31
1998,female,50-54,000*-999*,277.27
1999,female,50-54,000*-999*,277.01
1925,female,55-59,000*-999*,1563.77
1926,female,55-59,000*-999*,1570.8
1927,female,55-59,000*-999*,1451.75
1928,female,55-59,000*-999*,1454.27
1929,female,55-59,000*-999*,1541.58
1930,female,55-59,000*-999*,1456.5
1931,female,55-59,000*-999*,1484.6
1932,female,55-59,000*-999*,1456.39
1933,female,55-59,000*-999*,1479.43
1934,female,55-59,000*-999*,1384.81
1935,female,55-59,000*-999*,1449.46
1936,female,55-59,000*-999*,1378.56
1937,female,55-59,000*-999*,1343.97
1938,female,55-59,000*-999*,1364.02
1939,female,55-59,000*-999*,1344.62
1940,female,55-59,000*-999*,1550.73
1941,female,55-59,000*-999*,1421.2
1942,female,55-59,000*-999*,1334.29
1943,female,55-59,000*-999*,1253.96
1944,female,55-59,000*-999*,1385.59
1945,female,55-59,000*-999*,1180.36
1946,female,55-59,000*-999*,1040.03
1947,female,55-59,000*-999*,972.58
1948,female,55-59,000*-999*,957.75
1949,female,55-59,000*-999*,1015.78
1950,female,55-59,000*-999*,972.25
1951,female,55-59,000*-999*,1014.07
1952,female,55-59,000*-999*,937.32
1953,female,55-59,000*-999*,972.88
1954,female,55-59,000*-999*,915.71
1955,female,55-59,000*-999*,886.44
1956,female,55-59,000*-999*,876.81
1957,female,55-59,000*-999*,842.26
1958,female,55-59,000*-999*,771.5
1959,female,55-59,000*-999*,780.21
1960,female,55-59,000*-999*,763.42
1961,female,55-59,000*-999*,726.11
1962,female,55-59,000*-999*,747.19
1963,female,55-59,000*-999*,751.04
1964,female,55-59,000*-999*,710.51
1965,female,55-59,000*-999*,724.32
1966,female,55-59,000*-999*,696.34
1967,female,55-59,000*-999*,684.77
1968,female,55-59,000*-999*,694.49
1969,female,55-59,000*-999*,703.23
1970,female,55-59,000*-999*,655.96
1971,female,55-59,000*-999*,671.9
1972,female,55-59,000*-999*,663.99
1973,female,55-59,000*-999*,641.6
1974,female,55-59,000*-999*,633.66
1975,female,55-59,000*-999*,615.06
1976,female,55-59,000*-999*,593.68
1977,female,55-59,000*-999*,569.98
1978,female,55-59,000*-999*,570.72
1979,female,55-59,000*-999*,562.85
1980,female,55-59,000*-999*,544.23
1981,female,55-59,000*-999*,529.84
1982,female,55-59,000*-999*,520.49
1983,female,55-59,000*-999*,515.89
1984,female,55-59,000*-999*,500.92
1985,female,55-59,000*-999*,492.66
1986,female,55-59,000*-999*,479.75
1987,female,55-59,000*-999*,471.09
1988,female,55-59,000*-999*,456.27
1989,female,55-59,000*-999*,449.29
1990,female,55-59,000*-999*,438.58
1991,female,55-59,000*-999*,429.07
1992,female,55-59,000*-999*,421.26
1993,female,55-59,000*-999*,424.89
1994,female,55-59,000*-999*,408.53
1995,female,55-59,000*-999*,394.49
1996,female,55-59,000*-999*,397.6
1997,female,55-59,000*-999*,391.08
1998,female,55-59,000*-999*,390.92
1999,female,55-59,000*-999*,380.58
1925,female,60-64,000*-999*,2367.2
1926,female,60-64,000*-999*,2321.67
1927,female,60-64,000*-999*,2244.08
1928,female,60-64,000*-999*,2210.12
1929,female,60-64,000*-999*,2392.86
1930,female,60-64,000*-999*,2125.65
1931,female,60-64,000*-999*,2159.24
1932,female,60-64,000*-999*,2123.9
1933,female,60-64,000*-999*,2148
1934,female,60-64,000*-999*,2061.86
1935,female,60-64,000*-999*,2144.62
1936,female,60-64,000*-999*,2100.35
1937,female,60-64,000*-999*,2021.9
1938,female,60-64,000*-999*,2079.62
1939,female,60-64,000*-999*,2036.31
1940,female,60-64,000*-999*,2347.77
1941,female,60-64,000*-999*,2078.99
1942,female,60-64,000*-999*,2006.62
1943,female,60-64,000*-999*,1876.68
1944,female,60-64,000*-999*,2108.27
1945,female,60-64,000*-999*,1823.39
1946,female,60-64,000*-999*,1596.93
1947,female,60-64,000*-999*,1534.77
1948,female,60-64,000*-999*,1471.34
1949,female,60-64,000*-999*,1567.48
1950,female,60-64,000*-999*,1480.27
1951,female,60-64,000*-999*,1544.78
1952,female,60-64,000*-999*,1425.86
1953,female,60-64,000*-999*,1464.65
1954,female,60-64,000*-999*,1381.39
1955,female,60-64,000*-999*,1357.24
1956,female,60-64,000*-999*,1351.96
1957,female,60-64,000*-999*,1319.8
1958,female,60-64,000*-999*,1206.31
1959,female,60-64,000*-999*,1206.35
1960,female,60-64,000*-999*,1198.22
1961,female,60-64,000*-999*,1140.69
1962,female,60-64,000*-999*,1178.35
1963,female,60-64,000*-999*,1178.72
1964,female,60-64,000*-999*,1105.08
1965,female,60-64,000*-999*,1108.16
1966,female,60-64,000*-999*,1079.34
1967,female,60-64,000*-999*,1070.03
1968,female,60-64,000*-999*,1059.91
1969,female,60-64,000*-999*,1107.91
1970,female,60-64,000*-999*,1004.03
1971,female,60-64,000*-999*,990.23
1972,female,60-64,000*-999*,984.08
1973,female,60-64,000*-999*,954.09
1974,female,60-64,000*-999*,914.26
1975,female,60-64,000*-999*,914.43
1976,female,60-64,000*-999*,894.67
1977,female,60-64,000*-999*,862.07
1978,female,60-64,000*-999*,852.19
1979,female,60-64,000*-999*,821.02
1980,female,60-64,000*-999*,773.91
1981,female,60-64,000*-999*,778.73
1982,female,60-64,000*-999*,755.21
1983,female,60-64,000*-999*,761.63
1984,female,60-64,000*-999*,731.01
1985,female,60-64,000*-999*,721.06
1986,female,60-64,000*-999*,712.39
1987,female,60-64,000*-999*,677.16
1988,female,60-64,000*-999*,658.99
1989,female,60-64,000*-999*,653.39
1990,female,60-64,000*-999*,634.51
1991,female,60-64,000*-999*,628.69
1992,female,60-64,000*-999*,608.5
1993,female,60-64,000*-999*,616.44
1994,female,60-64,000*-999*,594.84
1995,female,60-64,000*-999*,593.44
1996,female,60-64,000*-999*,584.7
1997,female,60-64,000*-999*,558.88
1998,female,60-64,000*-999*,557.69
1999,female,60-64,000*-999*,550.77
1925,female,65-69,000*-999*,3622.85
1926,female,65-69,000*-999*,3564.26
1927,female,65-69,000*-999*,3427.69
1928,female,65-69,000*-999*,3418.87
1929,female,65-69,000*-999*,3791.94
1930,female,65-69,000*-999*,3321.4
1931,female,65-69,000*-999*,3491.19
1932,female,65-69,000*-999*,3383.95
1933,female,65-69,000*-999*,3380.01
1934,female,65-69,000*-999*,3185.17
1935,female,65-69,000*-999*,3334.11
1936,female,65-69,000*-999*,3200.08
1937,female,65-69,000*-999*,3100.04
1938,female,65-69,000*-999*,3157.17
1939,female,65-69,000*-999*,3179.63
1940,female,65-69,000*-999*,3781.14
1941,female,65-69,000*-999*,3324.59
1942,female,65-69,000*-999*,3207.74
1943,female,65-69,000*-999*,3101.04
1944,female,65-69,000*-999*,3413.14
1945,female,65-69,000*-999*,3030.68
1946,female,65-69,000*-999*,2581.84
1947,female,65-69,000*-999*,2463.29
1948,female,65-69,000*-999*,2348.9
1949,female,65-69,000*-999*,2594.14
1950,female,65-69,000*-999*,2417.89
1951,female,65-69,000*-999*,2475.18
1952,female,65-69,000*-999*,2325.89
1953,female,65-69,000*-999*,2379.64
1954,female,65-69,000*-999*,2219.89
1955,female,65-69,000*-999*,2202.29
1956,female,65-69,000*-999*,2205.61
1957,female,65-69,000*-999*,2148.18
1958,female,65-69,000*-999*,1994.19
1959,female,65-69,000*-999*,1969.86
1960,female,65-69,000*-999*,1989.3
1961,female,65-69,000*-999*,1847.05
1962,female,65-69,000*-999*,1928.61
1963,female,65-69,000*-999*,1944.98
1964,female,65-69,000*-999*,1786.33
1965,female,65-69,000*-999*,1811.48
1966,female,65-69,000*-999*,1729.01
1967,female,65-69,000*-999*,1726.36
1968,female,65-69,000*-999*,1720.94
1969,female,65-69,000*-999*,1815.78
1970,female,65-69,000*-999*,1645.87
1971,female,65-69,000*-999*,1632.32
1972,female,65-69,000*-999*,1591.82
1973,female,65-69,000*-999*,1566.77
1974,female,65-69,000*-999*,1503.29
1975,female,65-69,000*-999*,1503.88
1976,female,65-69,000*-999*,1430.01
1977,female,65-69,000*-999*,1332.56
1978,female,65-69,000*-999*,1300.95
1979,female,65-69,000*-999*,1261.42
1980,female,65-69,000*-999*,1243.41
1981,female,65-69,000*-999*,1272.66
1982,female,65-69,000*-999*,1244.1
1983,female,65-69,000*-999*,1212.93
1984,female,65-69,000*-999*,1144.48
1985,female,65-69,000*-999*,1099.93
1986,female,65-69,000*-999*,1064.3
1987,female,65-69,000*-999*,1034.33
1988,female,65-69,000*-999*,1018.16
1989,female,65-69,000*-999*,1007.06
1990,female,65-69,000*-999*,950.96
1991,female,65-69,000*-999*,957.56
1992,female,65-69,000*-999*,944.5
1993,female,65-69,000*-999*,944.99
1994,female,65-69,000*-999*,922.49
1995,female,65-69,000*-999*,920.01
1996,female,65-69,000*-999*,900.34
1997,female,65-69,000*-999*,889.85
1998,female,65-69,000*-999*,868.32
1999,female,65-69,000*-999*,837.2
1925,female,70-74,000*-999*,5953.7
1926,female,70-74,000*-999*,5865.72
1927,female,70-74,000*-999*,5719.9
1928,female,70-74,000*-999*,5612.13
1929,female,70-74,000*-999*,6307.68
1930,female,70-74,000*-999*,5240.14
1931,female,70-74,000*-999*,5698.96
1932,female,70-74,000*-999*,5515.46
1933,female,70-74,000*-999*,5494.5
1934,female,70-74,000*-999*,5170.22
1935,female,70-74,000*-999*,5416.3
1936,female,70-74,000*-999*,5280.55
1937,female,70-74,000*-999*,5132.28
1938,female,70-74,000*-999*,5279.98
1939,female,70-74,000*-999*,5304.2
1940,female,70-74,000*-999*,6226.02
1941,female,70-74,000*-999*,5363.77
1942,female,70-74,000*-999*,5278.85
1943,female,70-74,000*-999*,5164.1
1944,female,70-74,000*-999*,5750.33
1945,female,70-74,000*-999*,5081.31
1946,female,70-74,000*-999*,4322.85
1947,female,70-74,000*-999*,4215.05
1948,female,70-74,000*-999*,3981.75
1949,female,70-74,000*-999*,4541.38
1950,female,70-74,000*-999*,4123.25
1951,female,70-74,000*-999*,4296.31
1952,female,70-74,000*-999*,3980.46
1953,female,70-74,000*-999*,4182.15
1954,female,70-74,000*-999*,3749.05
1955,female,70-74,000*-999*,3738.26
1956,female,70-74,000*-999*,3841.97
1957,female,70-74,000*-999*,3732.69
1958,female,70-74,000*-999*,3432.31
1959,female,70-74,000*-999*,3390.83
1960,female,70-74,000*-999*,3398.3
1961,female,70-74,000*-999*,3178.97
1962,female,70-74,000*-999*,3329.86
1963,female,70-74,000*-999*,3368.07
1964,female,70-74,000*-999*,3070.34
1965,female,70-74,000*-999*,3170.78
1966,female,70-74,000*-999*,3035.08
1967,female,70-74,000*-999*,3026.04
1968,female,70-74,000*-999*,3015.96
1969,female,70-74,000*-999*,3194.19
1970,female,70-74,000*-999*,2874.37
1971,female,70-74,000*-999*,2816.06
1972,female,70-74,000*-999*,2737.22
1973,female,70-74,000*-999*,2753.6
1974,female,70-74,000*-999*,2651.16
1975,female,70-74,000*-999*,2613.77
1976,female,70-74,000*-999*,2509.88
1977,female,70-74,000*-999*,2380.06
1978,female,70-74,000*-999*,2353.21
1979,female,70-74,000*-999*,2252.59
1980,female,70-74,000*-999*,2202.62
1981,female,70-74,000*-999*,2157.14
1982,female,70-74,000*-999*,2086.98
1983,female,70-74,000*-999*,2078.07
1984,female,70-74,000*-999*,1973.92
1985,female,70-74,000*-999*,1988.94
1986,female,70-74,000*-999*,1959.91
1987,female,70-74,000*-999*,1869.56
1988,female,70-74,000*-999*,1809.46
1989,female,70-74,000*-999*,1691.21
1990,female,70-74,000*-999*,1591.66
1991,female,70-74,000*-999*,1536.95
1992,female,70-74,000*-999*,1511.28
1993,female,70-74,000*-999*,1506.79
1994,female,70-74,000*-999*,1509.41
1995,female,70-74,000*-999*,1504.16
1996,female,70-74,000*-999*,1502.73
1997,female,70-74,000*-999*,1446.1
1998,female,70-74,000*-999*,1439.3
1999,female,70-74,000*-999*,1409.01
1925,female,75-79,000*-999*,9814.36
1926,female,75-79,000*-999*,9759.79
1927,female,75-79,000*-999*,9595.76
1928,female,75-79,000*-999*,9289.94
1929,female,75-79,000*-999*,10579.1
1930,female,75-79,000*-999*,8591.58
1931,female,75-79,000*-999*,9434.73
1932,female,75-79,000*-999*,9006.42
1933,female,75-79,000*-999*,9048.89
1934,female,75-79,000*-999*,8531.29
1935,female,75-79,000*-999*,8933.75
1936,female,75-79,000*-999*,8731.07
1937,female,75-79,000*-999*,8439.7
1938,female,75-79,000*-999*,8730.52
1939,female,75-79,000*-999*,9001.61
1940,female,75-79,000*-999*,10668.69
1941,female,75-79,000*-999*,9170.31
1942,female,75-79,000*-999*,9241.63
1943,female,75-79,000*-999*,8842.26
1944,female,75-79,000*-999*,9854.2
1945,female,75-79,000*-999*,8676.27
1946,female,75-79,000*-999*,7357.01
1947,female,75-79,000*-999*,7163.65
1948,female,75-79,000*-999*,6607.82
1949,female,75-79,000*-999*,7767.09
1950,female,75-79,000*-999*,7060.34
1951,female,75-79,000*-999*,7587.68
1952,female,75-79,000*-999*,6802.06
1953,female,75-79,000*-999*,7431.52
1954,female,75-79,000*-999*,6660.84
